,date,text,user
351,2019-12-06 13:49:59+00:00,a majority conservative government will get brexit done so we can focus on the priorities of the british people funding the nhs and tackling the cost of living ,Conservatives
352,2019-12-06 13:46:16+00:00, only days left before you must vote for a conservative majority government that will get brexit done ,Conservatives
353,2019-12-06 13:39:36+00:00, let s get brexit done and increase funding for the nhs with million more gp surgery appointments a year ,Conservatives
354,2019-12-06 13:22:57+00:00, break the deadlock get brexit done move on on december th ,Conservatives
355,2019-12-06 12:54:00+00:00, this is a brexit election after all and a vote for this time around is a vote to ,Conservatives
357,2019-12-06 11:51:00+00:00,vote to get brexit done ,Conservatives
358,2019-12-06 11:37:23+00:00,only a conservative majority government will get brexit done on december ,Conservatives
360,2019-12-06 10:02:00+00:00, if there s a conservative majority government we can deliver the change people voted for we can get brexit done we can make a decisive break with the dither amp indecision of the last amp a half years we can unleash britain s potential ,Conservatives
361,2019-12-06 09:35:00+00:00, in days time you can vote to end the gridlock in parliament get brexit done and unleash britain s potential ,Conservatives
372,2019-12-05 13:36:08+00:00,our priorities get brexit done invest in our nhs more funding per pupil in schools  more police australian style points based immigration system ,Conservatives
373,2019-12-05 10:58:00+00:00, a vote for this time around is a vote to get brexit done ,Conservatives
374,2019-12-05 10:43:30+00:00, a majority conservative government will deliver extra funding for the nhs with  more nurses and million more gp surgery appointments a year lets get brexit done ,Conservatives
375,2019-12-05 10:34:34+00:00,lets end the gridlock in parliament lets respect the referendum result and get brexit done ,Conservatives
376,2019-12-05 10:27:17+00:00,only days to go before you can vote to end the gridlock and get brexit done ,Conservatives
378,2019-12-04 22:08:00+00:00, ding our brexit deal is ready ,Conservatives
385,2019-12-04 11:25:00+00:00, a vote for this time around is a vote to get brexit done former labour minister gisela stuart backs boris to ,Conservatives
388,2019-12-03 17:00:00+00:00, only this can get brexit done ,Conservatives
392,2019-12-03 13:45:00+00:00,in days time your vote can end the gridlock in parliament only a conservative majority can get brexit done so we can all move on ,Conservatives
396,2019-12-03 10:31:00+00:00,only a conservative majority government will get brexit done so the country can move on ,Conservatives
409,2019-12-02 06:25:00+00:00,we will get brexit done take back control of our borders and introduce an australian style points based immigration system ,Conservatives
419,2019-12-01 20:21:23+00:00,only a conservative majority in parliament will get brexit done with boris johnsons deal so that we can unleash britains potential ,Conservatives
432,2019-12-01 19:41:58+00:00,corbyn s labour can t win a majority so his only chance of getting into power is to do a deal with nicola sturgeons snp that would mean that would be lost to the chaos of another two referendums one on brexit and another on scottish independence ,Conservatives
433,2019-12-01 19:38:28+00:00,boris has negotiated a great new deal that takes back control only a majority conservative government can now get brexit done and move this country forward ,Conservatives
434,2019-12-01 19:38:15+00:00,corbyn can t decide whether he s for leave or remain but every conservative candidate backs boris new brexit deal meaning we can get brexit done ,Conservatives
435,2019-12-01 19:35:09+00:00,we are united in getting brexit done with boris johnsons deal so that we can unleash britains potential ,Conservatives
436,2019-12-01 19:31:48+00:00,parliament has been paralysed and preoccupied with blocking brexit thats why were having this election a vote for the lib dems means another chaotic hung parliament taking us right back to where we were before ,Conservatives
437,2019-12-01 19:24:00+00:00,only a conservative majority in parliament can get brexit done and move this country forward ,Conservatives
439,2019-12-01 19:18:33+00:00,only with a conservative majority government can we get brexit done so we can get back to focusing on your priorities the nhs schools and police a vote for any other party means more chaos more indecision and more delay ,Conservatives
442,2019-12-01 19:02:33+00:00, getting brexit done  new police more money for our nhs more money for every pupil an australian style points based immigration system ,Conservatives
460,2019-11-29 20:25:34+00:00,our priority as conservatives is to get brexit done so that we can unleash the potential of this great country ,Conservatives
469,2019-11-29 19:14:46+00:00,only can get brexit done and deliver on your priorities getting brexit done  new police more money for our nhs more money for every pupil an australian style points based immigration system ,Conservatives
470,2019-11-29 19:09:14+00:00, lets end the delay and get brexit done ,Conservatives
480,2019-11-28 11:50:01+00:00, we want to get brexit done so that we can get on with our work of making britain the greatest place in the world to live to go to school to start a family to own a home to start a business with the most ambitious environmental programme of any country ,Conservatives
483,2019-11-28 09:32:17+00:00, let us seize the opportunity now to get brexit done and move this country forward ,Conservatives
499,2019-11-27 07:41:00+00:00, people across britain are backing to get brexit done and unleash the potential of the whole country ,Conservatives
500,2019-11-26 21:58:00+00:00, your reckless socialist ideas are genuinely terrifying to me my family and my friends jeremy corbyn has no plan for brexit would allow more chaotic referendums and higher taxes for you and your family ,Conservatives
509,2019-11-26 13:09:00+00:00,when we get brexit done we ll be able to ,Conservatives
512,2019-11-26 10:06:19+00:00, it s where i ve come from people across britain are backing to get brexit done and unleash the potential of the whole country ,Conservatives
516,2019-11-26 08:13:00+00:00, if there is a majority of conservative mps on december th i guarantee i will get our new deal through parliament we will get brexit done in january and unleash the potential of our whole country ,Conservatives
521,2019-11-25 20:38:00+00:00, it only takes minutes to register to vote but it could make all the difference use your voice help get brexit done ,Conservatives
524,2019-11-25 16:58:12+00:00,the  focuses on the peoples priorities to get brexit done invest in our nhs put more police on our streets and properly fund schools ,Conservatives
527,2019-11-25 14:23:00+00:00,back boris to get brexit done ,Conservatives
528,2019-11-25 13:37:03+00:00,well get brexit done vote for a prime minister not a prime ditherer ,Conservatives
534,2019-11-25 10:00:30+00:00,register to vote by pm tomorrow to vote in the general election on december be the difference to get brexit done ,Conservatives
538,2019-11-25 06:03:00+00:00, get brexit done unleash britains potential read our manifesto ,Conservatives
540,2019-11-24 22:02:00+00:00,only a majority conservative government can get brexit done and move the country forward ,Conservatives
544,2019-11-24 15:45:00+00:00,only a conservative majority government will get brexit done so that we can unleash the potential of this great country we will get on with your priorities show your support for the by using the button below to tweet ,Conservatives
551,2019-11-24 15:03:12+00:00,we have been paralysed by a broken parliament that simply refuses to deliver brexit and that is why this election is so essential lets get brexit done and unleash britains potential ,Conservatives
566,2019-11-24 11:38:50+00:00,today we will launch our to share our positive vision for the country we will get brexit done and unleash britains potential ,Conservatives
567,2019-11-24 11:12:00+00:00,our manifesto will set out how a conservative majority government would bring back the withdrawal agreement bill before christmas so that we can get brexit done by the end of january and focus on the people s priorities ,Conservatives
570,2019-11-24 09:15:00+00:00,with a conservative majority government we ll be able to get brexit done and focus on the country s priorities schools hospitals police,Conservatives
573,2019-11-23 21:38:00+00:00,use your vote only a conservative majority government can get brexit done and unleash britain s potential ,Conservatives
583,2019-11-23 08:26:00+00:00,unemployment has fallen to the lowest level in years by getting brexit done a conservative majority government can focus on the people s priorities including increasing the national living wage to  per hour by  ,Conservatives
588,2019-11-22 20:57:04+00:00,we are united in getting brexit done with s deal so that we can unleash britains potential ,Conservatives
601,2019-11-22 19:32:55+00:00,jeremy corbyn did not mention brexit once in his closing statement tonight the labour leader has once again shown a complete lack of leadership on the biggest issue of this election the british people deserve better ,Conservatives
603,2019-11-22 19:27:28+00:00, your reckless socialist ideas are genuinely terrifying to me my family and my friends this audience member gives his verdict on jeremy corbyn who has no plan for brexit would allow more chaotic referendums and higher taxes for you and your family ,Conservatives
