,date,text,user
163,2019-12-09 10:55:00+00:00,i want a future where brexit is done and we re focusing on the issues that matter to you and your family ,BorisJohnson
165,2019-12-09 10:15:49+00:00,lets get brexit done and take back control of our fishing waters ,BorisJohnson
166,2019-12-09 10:07:00+00:00,let s get brexit done and get on with making this country the best place in the world to live ,BorisJohnson
167,2019-12-09 09:39:00+00:00,we will get brexit done and get parliament working on your priorities the nhs the cost of living  more police officers more cash for our schools let s get it done and move on vote conservative on thursday ,BorisJohnson
168,2019-12-09 09:05:00+00:00,the only way to move this country forward is with a majority conservative government we will pass the brexit deal and get parliament working for you again ,BorisJohnson
169,2019-12-09 08:51:00+00:00,at grimsby fish market this morning our new brexit deal means we will take back control of our fishing waters and support our fantastic fishing industries ,BorisJohnson
170,2019-12-09 08:04:00+00:00,we ve got days to get brexit done let s do it ,BorisJohnson
172,2019-12-08 19:04:00+00:00,i want us to get brexit done so that we can focus our hearts and minds on the priorities of the british people ,BorisJohnson
173,2019-12-08 18:23:00+00:00,lets end the chaos and uncertainty lets get brexit done with a one nation conservative government and take this country forwards ,BorisJohnson
174,2019-12-08 17:36:00+00:00,we live in a great country and we can make it greater still together we ll end the uncertainty and get brexit done ,BorisJohnson
177,2019-12-08 13:13:00+00:00, days to go lets get brexit done ,BorisJohnson
178,2019-12-08 12:30:29+00:00,team selfie let s get brexit done ,BorisJohnson
180,2019-12-08 12:19:00+00:00,we can t afford another chaotic hung parliament with jeremy corbyn in charge of nothing except more arguments so let s get brexit done let s get on with the country s priorities and unleash the potential of the whole of the uk ,BorisJohnson
181,2019-12-08 10:05:00+00:00,we must respect the result of the eu referendum back me to get brexit done by voting conservative on december th ,BorisJohnson
182,2019-12-08 09:49:19+00:00,this week i visited a wonderful bakery in north london where the message was clear let s get on with it and get brexit done ,BorisJohnson
184,2019-12-08 08:15:00+00:00,lets end the uncertainty and get brexit done ,BorisJohnson
187,2019-12-07 15:05:00+00:00,we ll get there folks vote conservative on december th and we will get brexit done ,BorisJohnson
189,2019-12-07 11:30:00+00:00, getting brexit done and ending the uncertainty cutting business rates a jobs tax cut only a majority conservative government will support our fantastic small businesses who strengthen our economy ,BorisJohnson
190,2019-12-07 10:58:00+00:00,its time the football world cup came home i want it to show our national confidence as we get brexit done a sign to the world that whilst we are a small country we re a great one with a proud history and a strong future ,BorisJohnson
202,2019-12-06 20:38:51+00:00,every conservative candidate at this election is backing my brexit deal if we get a majority we can finally and get on with delivering on your priorities ,BorisJohnson
207,2019-12-06 18:30:00+00:00,folks we have just six days to get brexit done and move this country forward together we ll get there ,BorisJohnson
208,2019-12-06 18:30:00+00:00,let s get brexit done and focus our hearts and minds on the priorities of the british people ,BorisJohnson
213,2019-12-06 10:29:46+00:00,this morning i made some get brexit done donuts at a wonderful bakery in golders green north london thank you grodzinski bakery to everyone who stopped by to say hello ,BorisJohnson
215,2019-12-06 09:57:14+00:00,we will get brexit done ,BorisJohnson
216,2019-12-05 20:47:00+00:00,under my leadership a majority conservative government will get brexit done invest more money in our public services get tough on crime back our armed forces and strengthen our economy ,BorisJohnson
217,2019-12-05 19:30:00+00:00,with a conservative majority we can get brexit done ,BorisJohnson
218,2019-12-05 17:44:00+00:00,we are a great country let s get brexit done and get on with delivering on the priorities of the british people ,BorisJohnson
219,2019-12-05 17:17:00+00:00,we ve got one week to get brexit done and unleash britain s potential ,BorisJohnson
220,2019-12-05 15:16:00+00:00,one week to go let s get brexit done ,BorisJohnson
221,2019-12-05 14:03:00+00:00,well get brexit done take back control of our borders and invest in our nhs schools and police ,BorisJohnson
222,2019-12-05 13:34:00+00:00,folks every vote is going to count at this election you can use yours to put an end to the uncertainty and to get brexit done ,BorisJohnson
224,2019-12-05 10:34:00+00:00,back me to get brexit done by voting conservative on december th ,BorisJohnson
225,2019-12-05 09:28:00+00:00,the only way we can break the deadlock in parliament and get brexit done is with a majority conservative government ,BorisJohnson
226,2019-12-05 07:15:00+00:00,let s get brexit done so we can focus our hearts and our minds on the priorities of the british people ,BorisJohnson
228,2019-12-04 20:34:00+00:00,we ve got days to get brexit done and unleash britain s potential ,BorisJohnson
231,2019-12-04 16:35:00+00:00, days to get brexit done ,BorisJohnson
232,2019-12-04 15:57:00+00:00, getting brexit done  more nurses million more gp surgery appointments  more police tougher sentencing for criminals an australian style points based immigration system tackling climate change lowering your taxes strengthening our economy,BorisJohnson
233,2019-12-04 14:29:00+00:00,we ve got the plan to get brexit done and invest in our nhs schools and police we will get parliament working again on the issues that matter to you ,BorisJohnson
234,2019-12-04 13:30:00+00:00,this week i visited the port of southampton where they are looking forward to getting brexit done ,BorisJohnson
235,2019-12-04 11:05:00+00:00,together we can get brexit done vote conservative on december th ,BorisJohnson
236,2019-12-04 10:30:00+00:00,back me to get brexit done vote conservative on december th ,BorisJohnson
237,2019-12-04 09:30:00+00:00,we are a great country and we can be greater still together we can get brexit done ,BorisJohnson
238,2019-12-04 07:37:00+00:00,folks we re having this election because parliament simply wasn t working it was stuck in endless dither and delay the only way we can move forward now is to get brexit done with a majority conservative government ,BorisJohnson
239,2019-12-03 19:57:00+00:00,we have days to get brexit done and unleash the potential of the whole uk ,BorisJohnson
241,2019-12-03 18:28:00+00:00,i love this time of year all we want for christmas is to get brexit done ,BorisJohnson
245,2019-12-03 07:52:00+00:00,when we get brexit done we can end free movement strengthen our border security and invest in our nhs schools and police ,BorisJohnson
246,2019-12-03 07:30:08+00:00,we will respect the result of the referendum and get brexit done ,BorisJohnson
247,2019-12-02 21:14:39+00:00,we ve got days to go let s get brexit done ,BorisJohnson
250,2019-12-02 14:03:00+00:00,parliament has blocked and delayed brexit for years now we have a chance to break the deadlock and get this thing done vote conservative on december th ,BorisJohnson
251,2019-12-02 13:18:00+00:00,we re having this election because parliament couldn t get anything done a majority conservative government will get brexit done and take back control of our borders so that dangerous criminals can no longer exploit free movement ,BorisJohnson
252,2019-12-02 12:17:00+00:00,we have days to get this done back me to get brexit done by voting conservative on december th ,BorisJohnson
253,2019-12-02 11:30:00+00:00,we re having this election because parliament could not get anything done it was paralysed it s time for us to take decisive action and to get brexit done so that we can get parliament working again on the issues that matter to you ,BorisJohnson
254,2019-12-02 09:45:00+00:00,we ve got the plan to get brexit done and unleash britain s potential ,BorisJohnson
255,2019-12-02 09:05:01+00:00,let s get brexit done take back control of our borders and implement an australian style points based immigration system ,BorisJohnson
284,2019-11-29 08:00:01+00:00,back me to get brexit done vote conservative on december th,BorisJohnson
285,2019-11-28 21:10:00+00:00,weve got the plan to get brexit done ,BorisJohnson
287,2019-11-28 17:06:00+00:00,two weeks to get brexit done we can do this ,BorisJohnson
289,2019-11-28 11:15:00+00:00,the british people deserve a parliament that gets brexit done so we can move forward and focus on priorities like the nhs schools and police ,BorisJohnson
294,2019-11-27 12:08:00+00:00,the only way we can move on as a country is if we respect the result of the referendum result and get brexit done ,BorisJohnson
299,2019-11-26 17:31:39+00:00,i want us to get brexit done so that we can get on with making this the best country in the world to live the greatest place to start a business to have a family to get an education to have a life ,BorisJohnson
300,2019-11-26 16:03:00+00:00,let us seize the opportunity now to get brexit done and move this country forward ,BorisJohnson
301,2019-11-26 15:11:00+00:00,an early christmas present to the country will be to bring the brexit bill back before the festive break and get it done ,BorisJohnson
302,2019-11-26 13:45:00+00:00,thank you to everyone who stopped to talk at the royal welsh winter fair we ve got the optimism energy and drive to get brexit done and seize the opportunities ahead for our farmers ,BorisJohnson
306,2019-11-26 10:09:00+00:00,it s time for us to get brexit done so we can get on with the priorities of the british people ,BorisJohnson
308,2019-11-25 22:07:00+00:00,imagine the relief the whole nation will feel if we get brexit done uncertainty ended investment unlocked a nation moving forward once again this is only possible with the conservatives ,BorisJohnson
312,2019-11-25 14:09:09+00:00,had a great time at the royal welsh winter show today were going to look after farmers across the country as we embrace the opportunities of brexit ,BorisJohnson
313,2019-11-25 13:36:04+00:00,in wales for the royal welsh winter fair meeting farmers who want to get brexit done ,BorisJohnson
314,2019-11-25 13:11:00+00:00,let s get brexit done and focus on the issues that matter to you and your family making your streets safer investing in our nhs and helping you with the cost of living ,BorisJohnson
319,2019-11-24 20:10:00+00:00,we have the plan to get brexit done and invest in our fantastic public services ,BorisJohnson
322,2019-11-24 17:34:00+00:00,our pledge to you we will get brexit done invest in our nhs and schools protect our environment and help you and your family with the cost of living ,BorisJohnson
323,2019-11-24 15:57:43+00:00,this focuses on the peoples priorities to get brexit done invest in our nhs put more police on our streets and properly fund schools share now ,BorisJohnson
327,2019-11-24 13:56:14+00:00, manifesto launch live our plan to get brexit done and unleash britain s potential,BorisJohnson
328,2019-11-24 13:44:39+00:00,just arrived in telford to launch our we will get brexit done and get parliament working again for you ,BorisJohnson
338,2019-11-23 10:03:00+00:00,we will get parliament working for you again by getting brexit done investing in our nhs schools and police and cutting taxes for you and your family ,BorisJohnson
341,2019-11-22 21:02:11+00:00,thank you so much for all your questions tonight we will get brexit done invest in our nhs schools and police and cut taxes for you and your family lets unleash britains potential ,BorisJohnson
344,2019-11-22 19:36:31+00:00,only a majority conservative government can move this country forward and get brexit done ,BorisJohnson
349,2019-11-22 12:15:00+00:00,we live in an incredible country everywhere i go i meet people who are enthusiastic and passionate about this country s future and what we can achieve let s get brexit done ,BorisJohnson
354,2019-11-21 19:03:28+00:00,we need to get brexit done ,BorisJohnson
356,2019-11-21 15:05:00+00:00,let s get brexit done and continue with our bold plans for the environment leading the fight against climate change and protecting our precious animals ,BorisJohnson
358,2019-11-21 12:11:00+00:00, getting brexit done  new police more money for our nhs more money for every pupil an australian style points based immigration system,BorisJohnson
360,2019-11-21 10:05:00+00:00,let s get brexit done end the uncertainty and support our fantastic small and medium sized businesses by lowering taxes ,BorisJohnson
361,2019-11-20 22:30:00+00:00,when we get brexit done by january st we will go forward as a united and confident nation that has shown our faith in the judgement of our people ,BorisJohnson
363,2019-11-20 21:18:00+00:00,what a day in teesside taking questions directly from workers at wilton engineering services they were focused on the issues that matter to them we need to get brexit done and move this country forward ,BorisJohnson
368,2019-11-20 13:46:00+00:00,we need to get brexit done,BorisJohnson
370,2019-11-20 10:05:00+00:00,all conservative candidates standing at this election have pledged that if elected they will vote in parliament to pass the brexit deal we can get this done but only if you ,BorisJohnson
381,2019-11-19 20:25:55+00:00,the only way to restore trust in our democracy is to get brexit done ,BorisJohnson
384,2019-11-19 20:20:35+00:00,our new brexit deal will boost opportunities for people in all four parts of our precious union i will always defend it ,BorisJohnson
386,2019-11-19 20:12:20+00:00,we have a great new deal that is supported by every conservative candidate lets get brexit done ,BorisJohnson
387,2019-11-19 20:09:28+00:00,we have negotiated a great new deal that takes back control of our borders our laws and our money only a majority conservative government can now get brexit done and move this country forward ,BorisJohnson
388,2019-11-19 20:07:21+00:00,only a majority conservative government can get brexit done we have a deal that is ready to go lets make the year of prosperity and growth ,BorisJohnson
390,2019-11-19 19:46:23+00:00,lets move forward lets break the deadlock lets get brexit done ,BorisJohnson
391,2019-11-19 19:32:35+00:00,we have a positive vision to get brexit done and unleash britains potential ,BorisJohnson
392,2019-11-19 18:50:54+00:00,lets get brexit done and unleash britain s potential ,BorisJohnson
399,2019-11-19 11:19:00+00:00,tonight i ll be sharing with you the british people my positive vision for this country i want us to get brexit done and unleash britain s potential with  more police more money for our nhs and schools and an australian style points based immigration system ,BorisJohnson
400,2019-11-19 10:13:00+00:00,this election is about what we can do for you and your family a majority conservative government will end the uncertainty get brexit done and focus on making this country the best place in the world to live ,BorisJohnson
402,2019-11-19 09:08:00+00:00,i say let s get brexit done so we can get on with making this the best country in the world to live for you and your family ,BorisJohnson
403,2019-11-18 22:52:37+00:00,tonight i ve written to jeremy corbyn to ask him whether he s made up his mind on brexit because that is why we are having this election to end the gridlock get brexit done and move on as a country ,BorisJohnson
404,2019-11-18 21:30:00+00:00,let s get brexit done and introduce a fair and controlled australian style points based immigration system ,BorisJohnson
405,2019-11-18 19:15:00+00:00,lets get brexit done,BorisJohnson
406,2019-11-18 16:08:00+00:00,i want a future where brexit is done and we re focusing on the issues that matter to you and your family a future with better hospitals safer streets world class schools and a strong economy ,BorisJohnson
409,2019-11-18 12:40:00+00:00, getting brexit done and ending the uncertainty cutting business rates a jobs tax cut only a majority conservative government will support our fantastic businesses who strengthen our economy ,BorisJohnson
413,2019-11-17 18:08:00+00:00,no more dither no more delay a majority conservative government will get brexit done ,BorisJohnson
414,2019-11-17 14:01:25+00:00,we should be so much more positive about the uk and what we can do i want us to get brexit done and unleash the potential of this great country ,BorisJohnson
415,2019-11-17 10:04:01+00:00,we want to get brexit done and get on with our fantastic domestic agenda better schools and hospitals safer streets and a strong economy ,BorisJohnson
416,2019-11-17 09:53:47+00:00,this is an amazing country let s move on with a new parliament that can get brexit done and unleash this country s potential vote conservative on december th ,BorisJohnson
425,2019-11-15 13:30:34+00:00,we need to get brexit done so that we can support our brilliant high street businesses and unleash the potential of every town city and village in the uk ,BorisJohnson
427,2019-11-15 07:16:39+00:00,i m enjoying getting out of westminster and on the road for our campaign to get brexit done let s unleash the potential of this fantastic country ,BorisJohnson
436,2019-11-12 18:27:30+00:00,i ve answered a few questions about brexit the economy and marmite watch our first election broadcast now ,BorisJohnson
438,2019-11-12 15:56:38+00:00,we will get brexit done we will get parliament working for you again well put uncertainty behind us so that families and businesses will be able to plan lets make the year of investment and growth not the year of two more chaotic referendums ,BorisJohnson
441,2019-11-12 07:28:06+00:00,only a majority conservative government can get brexit done ,BorisJohnson
448,2019-11-11 12:51:19+00:00,only a conservative majority can get brexit done by the end of january with a deal thats agreed and ready to go ,BorisJohnson
