,date,text,user
317,2019-09-11 06:14:10+00:00,giving people the final say on brexit in a is the best way to resolve gridlock as ive long argued no guarantees an election gives clear answer pushing for a ge whether johnson corbyn is about party concerns not national interest ,joswinson
325,2019-09-09 18:34:41+00:00,house of commons votes  to force govt to publish documents about what no deal brexit would mean for our nhs jobs and food supplies and also to reveal details about their shameful decision to shutdown parliament at this vital time ,joswinson
329,2019-09-07 22:47:45+00:00,this is the right decision ambers letter leaves us in no doubt johnson is not serious about negotiating a deal with the eu he plans to force a disastrous no deal brexit on people he must be stopped ,joswinson
330,2019-09-07 21:08:41+00:00,welcome to the she s the sixth new mp to join us in the last three months along with over  new members together we can stop brexit ,joswinson
338,2019-09-05 10:03:18+00:00,welcome i am so delighted and proud to welcome you to the so looking forward to working together to stop brexit fight for equality and build a fairer society for all ,joswinson
340,2019-09-04 20:46:05+00:00,no boris johnson you can t just use an election to sneak through a dangerous no deal brexit the will not support an election until article has been extended ,joswinson
344,2019-09-04 08:01:02+00:00,today the and i will act with responsibility we will not vote to tip our country into an election if it increases the likelihood of a dangerous no deal brexit ,joswinson
346,2019-09-03 21:45:18+00:00,jacob was just showing us what brexit will do to our economy ,joswinson
349,2019-09-03 17:07:37+00:00,doctors like my new colleague want to stop brexit to protect the nhs from crisis i challenged boris johnson on this in parliament today ,joswinson
350,2019-09-03 14:39:35+00:00,welcome you have joined us at the most crucial time i look forward to working with you to prevent a disastrous brexit and to fight for a fairer more equal society ,joswinson
353,2019-09-02 08:14:18+00:00,the demand that the risks of no deal brexit are published in full the people deserve better than a watered down dogdy dossier ,joswinson
357,2019-09-01 09:33:42+00:00,we deserve better than a watered down dodgy dossier after the governments authoritarian power grab michael gove must not be allowed to pull the wool over our eyes will continue to fight to stop the shutdown of parliament squash no deal amp stop brexit altogether ,joswinson
358,2019-08-31 19:35:44+00:00,its been a bleak week in politics but i feel all the more hopeful seeing thousands of people take to the streets across the uk to protest the pms power grab the message for this hard line brexit govt is clear we will not be silenced ,joswinson
359,2019-08-30 15:40:07+00:00,the brexit secretary appears to have just discovered the car industry is important and would be hugely damaged by his government s plan for no deal doesn t fill you with confidence does it ,joswinson
360,2019-08-30 13:21:23+00:00,i ve joined the judicial review launched by the are doing all we can in the courts and parliament to prevent boris johnson s authoritarian power grab and a no deal brexit we cannot allow the pm to silence the people and their representatives ,joswinson
362,2019-08-30 05:44:04+00:00,congrats st woman to represent the northern isles in any parliament beatrice will be an amazing msp for shetland together well fight to keep scotland in the uk amp to stop brexit because were better off staying in the eu as a strong family of nations ,joswinson
368,2019-08-29 10:20:36+00:00,i said it last week and i still believe it preventing no deal and stopping brexit is possible read my interview with grazia about brexit the future and life as a party leader here ,joswinson
369,2019-08-29 10:03:40+00:00,it s no wonder ruth davidson feels she must resign she is one of many conservatives examining their consciences at this time of crisis the people s representatives from all parties must unite to oppose the pm s anti democratic and disastrous no deal brexit,joswinson
375,2019-08-27 17:29:42+00:00,today i ve met with mps from all parties who want to stop both a disastrous no deal and an anti democratic shut down of parliament we will keep working together to prevent it and then the will continue to lead the fight to stop brexit altogether ,joswinson
378,2019-08-26 09:57:53+00:00,party politics can t stand in the way of a solution that works to prevent a national crisis we will do everything we can to prevent a no deal brexit and stop brexit altogether my letter to jeremy corbyn in advance of the meeting tomorrow ,joswinson
380,2019-08-22 09:29:44+00:00,there is no form of brexit that will be good for our country but a no deal brexit will be the most catastrophic of them all we must work together to stop it ,joswinson
383,2019-08-21 15:53:06+00:00,delighted to announce the new top team who will help to stop brexit and offer a positive alternative to nationalism and populism ,joswinson
