,date,text,user
1051,2019-09-09 07:30:00+00:00,a no deal brexit would be a disaster for our country when we have ruled out no deal we want a general election and we re ready to fight one ,UKLabour
1052,2019-09-08 18:53:55+00:00,boris johnson cant be trusted he wants to crash us out of the eu without a deal once the disaster of a no deal brexit is ruled out we want a general election and we re ready to fight one ,UKLabour
1053,2019-09-07 16:00:00+00:00,we will stop boris johnson recklessly crashing us out of the eu without a deal labour won t let the tory party cause enormous damage to jobs our nhs living standards and security or put peace in northern ireland at risk with a no deal brexit ,UKLabour
1056,2019-09-06 15:00:01+00:00,this week we ve taken vital steps towards preventing a disastrous no deal brexit once we ve stopped a no deal we want a general election this saturday join thousands of others fighting for a labour victory find an event near you ,UKLabour
1057,2019-09-06 14:09:48+00:00,boris johnson s negotiations are a sham labour will stop his reckless plans pushing us towards a disastrous no deal brexit when we ve stopped a no deal we want a general election ,UKLabour
1060,2019-09-04 19:16:38+00:00,our next step in preventing the tories disastrous no deal brexit has just passed the commons we will take no deal off the table and then we will back a general election ,UKLabour
1062,2019-09-04 15:15:00+00:00,a no deal brexit would be a disaster for our country we must do all we can to stop that from happening once no deal is legally off the table we need a general election ,UKLabour
1077,2019-09-04 11:12:18+00:00,boris johnson s negotiations are a sham he is recklessly pushing us towards no deal labour will do everything we can to stop a no deal brexit we want no deal taken off the table and then we want a general election ,UKLabour
1078,2019-09-03 21:14:44+00:00,tonight s vote is a vital step in preventing a disastrous no deal brexit labour is leading the fight against boris johnsons reckless tory government we won t let him cause enormous damage to jobs living standards our nhs security or put peace in northern ireland at risk ,UKLabour
1079,2019-09-03 11:05:00+00:00,a no deal brexit would be a disaster for britain labour will do everything we can to stop boris johnson forcing one through ,UKLabour
1080,2019-09-02 14:54:08+00:00,with a general election around the corner we re gearing up to stop boris johnson s disastrous no deal brexit and start rebuilding britain for the many not the few chip in today and help fund our campaign ,UKLabour
1081,2019-09-02 12:54:22+00:00,the tories are attempting to shut down parliament in order to avoid scrutiny of a no deal brexit if boris johnson has confidence in his plans he should put them to the people agree add your name here ,UKLabour
1082,2019-09-01 18:01:00+00:00,labour will do everything we can to stop boris johnson from forcing through a disastrous no deal brexit join as a member today and support our campaign ,UKLabour
1083,2019-09-01 10:05:00+00:00,a no deal brexit would be a disaster for britain yet boris johnson is shutting down parliament so he can force one through this is an outrage and goes against our democracy labour will do everything to stop him ,UKLabour
1084,2019-08-31 11:15:00+00:00,boris johnson is trying to shut down parliament in order to avoid any scrutiny of his no deal brexit this is an outrage to our democracy labour will do everything we can to stop him with us add your name ,UKLabour
1085,2019-08-31 09:05:00+00:00,with a general election around the corner we re ready to take on the tories and put a stop to their disastrous no deal brexit join us and become a labour member today ,UKLabour
1086,2019-08-30 10:32:45+00:00,a no deal brexit would be a disaster for britain yet boris johnson is shutting parliament so he can force one through labour will do everything to stop him ,UKLabour
