date,text,user
2020-01-03 17:00:01+00:00,the countdown to brexit just weeks to go ,brexitparty_uk
2020-01-01 00:01:00+00:00,wishing all of our supporters a very happy healthy and prosperous  ,brexitparty_uk
2019-12-31 12:30:51+00:00,a new year message from richard tice and nigel farage ,brexitparty_uk
2019-12-25 17:48:50+00:00,wishing you all a very happy christmas ,brexitparty_uk
2019-12-16 14:02:46+00:00,thank you ,brexitparty_uk
2019-12-14 15:39:00+00:00,brexit party mep claire fox has a message for the prime minister ,brexitparty_uk
2019-12-13 09:00:09+00:00, i did all i could with a very new party to get brexit back on track a huge thank you to all of our supporters ,brexitparty_uk
2019-12-13 07:15:33+00:00,thanks to every one of you who has supported us ,brexitparty_uk
2019-12-13 02:39:09+00:00, i tried to use what ever influence i could to stop a second referendum and i think ive had some success ,brexitparty_uk
2019-12-13 00:46:09+00:00,brexit party mep jake pugh puts remainer bercow in his place ,brexitparty_uk
2019-12-12 23:50:10+00:00,we said we wanted to stop a second referendum and tonight there will be lots of seats won by the conservatives because the brexit party has taken labour votes that would never go tory ,brexitparty_uk
2019-12-12 22:00:10+00:00,the polls have now closed thank you for voting ,brexitparty_uk
2019-12-12 21:40:01+00:00,there are just minutes left to vote help us to ensure a real brexit is delivered find out if you are in one of the seats that the conservatives havent won for years and wont win this time by clicking the link below ,brexitparty_uk
2019-12-12 21:30:05+00:00,you have just minutes left to vote leavers dont waste your vote find out if you are in one of the seats that the conservatives havent won for years and wont win this time by clicking the link below ,brexitparty_uk
2019-12-12 21:15:04+00:00,there are only minutes left to vote leavers dont waste your vote find out if you are in one of the seats that the conservatives havent won for years and wont win this time by clicking the link below ,brexitparty_uk
2019-12-12 21:00:15+00:00,there is just hour left for you to vote and help us change politics for good find out if you are in one of the seats that the conservatives havent won for years and wont win this time by clicking the link below ,brexitparty_uk
2019-12-12 20:45:17+00:00,vote for the brexit party today ,brexitparty_uk
2019-12-12 20:30:19+00:00,only the brexit party can beat corbyns labour party find out if you are in one of the seats that the conservatives havent won for years and wont win this time by clicking the link below ,brexitparty_uk
